captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned
CAP05108,Chennai,bike,3,parttime,21,19,11,8,0.591,0.565,0.245,0.154,15.9,7.62,0.261,69.0,2,0,1,11,1,cash,1
CAP05109,Delhi,bike,10,fulltime,86,68,56,24,0.713,0.091,0.254,0.22,16.7,12.29,0.423,307.0,0,1,0,4,0,cash,0
CAP05110,Delhi,auto,5,fulltime,82,50,46,38,0.53,0.441,0.645,0.14,27.6,21.38,0.857,932.0,2,0,0,6,0,amazon_pay,0
CAP05111,Pune,auto,8,parttime,36,34,19,13,0.622,0.931,0.222,0.084,19.5,16.69,0.427,265.0,5,0,0,11,0,paytm,0
CAP05112,Chennai,auto,2,fulltime,83,69,58,47,0.429,0.072,0.427,0.049,33.0,14.02,0.582,836.0,3,0,0,6,0,gpay,0
CAP05113,Chennai,bike,7,parttime,22,19,16,9,0.565,0.672,0.489,0.117,13.0,12.85,0.045,136.0,0,1,1,8,1,amazon_pay,1
CAP05114,Bengaluru,bike,11,parttime,31,29,20,7,0.75,0.708,0.145,0.08,10.8,12.97,0.396,111.0,3,0,0,5,0,paytm,1
CAP05115,Chennai,auto,10,fulltime,97,61,27,24,0.745,0.617,0.505,0.14,21.4,17.93,0.2,493.0,1,1,0,6,2,cash,0
CAP05116,Hyderabad,bike,10,fulltime,75,50,29,22,0.697,0.664,0.621,0.22,14.9,9.92,0.452,227.0,1,1,0,5,0,qr_scan,0
CAP05117,Hyderabad,auto,7,parttime,29,18,8,6,0.767,0.438,0.159,0.066,18.9,16.57,0.126,124.0,5,1,1,2,2,qr_scan,1
CAP05118,Chennai,bike,11,fulltime,90,85,55,34,0.615,0.544,0.347,0.22,12.5,12.63,0.381,447.0,0,1,1,5,0,paytm,0
CAP05119,Bengaluru,bike,12,fulltime,57,46,33,12,0.776,0.187,0.283,0.08,18.5,12.11,0.676,178.0,0,0,0,6,0,qr_scan,0
CAP05120,Bengaluru,bike,8,fulltime,74,49,32,13,0.813,0.388,0.526,0.22,15.8,10.53,0.667,142.0,2,1,1,5,0,paytm,0
CAP05121,Delhi,bike,1,parttime,24,16,12,7,0.68,0.213,0.383,0.22,12.2,9.65,0.715,70.0,1,1,0,2,0,gpay,0
CAP05122,Bengaluru,bike,8,parttime,22,16,9,7,0.652,0.479,0.678,0.22,22.2,14.36,0.216,105.0,4,1,1,7,2,gpay,0
CAP05123,Hyderabad,bike,1,parttime,44,31,15,13,0.689,0.719,0.499,0.08,17.7,10.0,0.795,159.0,5,0,0,3,1,paytm,0
CAP05124,Delhi,bike,3,fulltime,65,40,21,13,0.788,0.619,0.206,0.146,14.2,13.01,0.327,193.0,3,0,0,6,0,gpay,0
CAP05125,Chennai,bike,9,parttime,33,29,16,15,0.529,0.436,0.238,0.22,22.8,12.9,0.33,201.0,4,1,0,12,0,amazon_pay,0
CAP05126,Hyderabad,bike,4,fulltime,79,67,38,35,0.55,0.388,0.101,0.22,13.1,10.71,0.644,390.0,2,1,0,10,2,paytm,0
CAP05127,Bengaluru,bike,10,parttime,28,25,17,9,0.655,0.842,0.285,0.22,11.5,12.13,0.123,114.0,0,0,0,3,2,gpay,0
CAP05128,Bengaluru,auto,9,fulltime,76,57,51,19,0.74,0.344,0.491,0.14,24.2,19.53,0.387,425.0,2,1,1,6,0,amazon_pay,0
CAP05129,Pune,bike,1,parttime,35,28,17,10,0.694,0.269,0.434,0.22,17.0,9.66,0.453,100.0,2,0,1,3,0,gpay,0
CAP05130,Hyderabad,bike,8,parttime,21,17,8,7,0.636,0.414,0.069,0.17,21.6,9.56,0.673,74.0,4,1,1,4,1,amazon_pay,1
CAP05131,Hyderabad,auto,3,fulltime,59,46,39,22,0.617,0.21,0.161,0.14,23.4,16.22,0.72,409.0,1,1,0,4,1,qr_scan,0
CAP05132,Bengaluru,auto,11,parttime,30,24,10,5,0.806,0.787,0.627,0.14,29.1,19.38,0.199,111.0,1,1,1,6,0,paytm,1
CAP05133,Bengaluru,bike,7,fulltime,71,54,38,20,0.708,0.516,0.557,0.173,23.4,7.94,0.707,175.0,0,0,0,4,0,paytm,0
CAP05134,Delhi,auto,2,fulltime,81,57,48,44,0.451,0.567,0.729,0.14,26.5,18.49,0.212,933.0,2,1,0,8,1,paytm,0
CAP05135,Hyderabad,bike,7,parttime,32,30,21,9,0.697,0.596,0.187,0.22,10.8,10.07,0.622,94.0,5,1,0,10,1,gpay,1
CAP05136,Chennai,bike,7,fulltime,77,57,52,31,0.59,0.486,0.429,0.22,14.3,10.85,0.582,350.0,3,0,0,5,2,amazon_pay,1
CAP05137,Bengaluru,bike,9,fulltime,85,75,34,16,0.802,0.141,0.132,0.22,22.1,9.24,0.128,154.0,4,1,0,9,1,gpay,0
CAP05138,Chennai,bike,2,parttime,45,35,32,13,0.696,0.146,0.797,0.08,20.1,10.85,0.498,173.0,5,0,0,13,1,qr_scan,1
CAP05139,Delhi,auto,8,fulltime,76,50,41,25,0.662,0.159,0.587,0.14,22.5,18.3,0.048,525.0,1,0,0,7,1,paytm,0
CAP05140,Hyderabad,bike,5,parttime,25,14,8,6,0.731,0.337,0.27,0.22,15.3,8.09,0.234,50.0,6,0,1,8,1,amazon_pay,1
CAP05141,Bengaluru,auto,10,fulltime,84,76,58,20,0.753,0.641,0.661,0.14,21.3,18.54,0.578,425.0,1,0,0,6,0,amazon_pay,0
CAP05142,Hyderabad,bike,9,fulltime,102,69,50,32,0.68,0.581,0.716,0.22,15.4,12.63,0.429,420.0,0,1,1,7,1,gpay,1
CAP05143,Chennai,bike,8,parttime,32,21,19,12,0.606,0.672,0.371,0.08,26.9,9.99,0.448,147.0,5,0,0,4,0,paytm,0
CAP05144,Hyderabad,bike,3,fulltime,83,70,45,17,0.786,0.3,0.22,0.22,18.7,10.66,0.236,188.0,2,0,0,4,0,gpay,0
CAP05145,Pune,auto,3,parttime,30,24,11,10,0.645,0.909,0.083,0.135,13.8,19.06,0.525,220.0,4,0,0,3,0,cash,0
CAP05146,Chennai,bike,11,fulltime,79,64,30,14,0.812,0.983,0.182,0.169,20.7,10.81,0.122,168.0,0,0,0,7,0,paytm,0
CAP05147,Pune,auto,12,fulltime,89,53,34,30,0.656,0.517,0.129,0.14,23.0,22.06,0.187,759.0,0,0,0,7,1,paytm,0
CAP05148,Chennai,auto,10,fulltime,80,51,48,23,0.704,0.045,0.085,0.14,34.2,18.81,0.226,496.0,1,0,0,8,0,paytm,0
CAP05149,Bengaluru,bike,8,fulltime,70,52,39,25,0.634,0.4,0.389,0.089,22.7,11.16,0.383,339.0,2,0,0,7,0,gpay,0
CAP05150,Bengaluru,bike,9,parttime,30,26,21,17,0.419,0.699,0.455,0.22,21.7,8.87,0.138,157.0,1,0,0,6,1,paytm,0
CAP05151,Bengaluru,auto,2,fulltime,75,54,50,45,0.395,0.458,0.33,0.14,23.9,21.84,0.378,1127.0,3,0,1,5,2,amazon_pay,0
CAP05152,Delhi,auto,3,parttime,26,15,11,6,0.741,0.931,0.087,0.14,24.1,16.46,0.352,113.0,2,0,1,2,1,qr_scan,0
CAP05153,Chennai,bike,8,fulltime,97,68,51,19,0.796,0.203,0.238,0.22,13.4,10.88,0.389,215.0,0,1,1,5,1,amazon_pay,0
CAP05154,Chennai,bike,2,fulltime,74,49,26,9,0.867,0.355,0.082,0.118,18.8,13.37,0.754,142.0,1,0,0,7,1,gpay,1
CAP05155,Bengaluru,bike,8,fulltime,83,78,46,40,0.512,0.467,0.553,0.213,21.2,13.87,0.234,582.0,1,1,0,8,1,amazon_pay,0
CAP05156,Bengaluru,bike,5,parttime,30,21,18,11,0.613,0.483,0.84,0.22,11.4,15.94,0.529,182.0,3,1,0,5,2,amazon_pay,1
CAP05157,Chennai,bike,6,fulltime,91,72,50,21,0.761,0.534,0.591,0.22,21.7,7.9,0.067,173.0,4,0,0,4,2,gpay,0
CAP05158,Hyderabad,bike,10,fulltime,91,70,61,38,0.576,0.164,0.155,0.22,19.6,9.57,0.503,378.0,0,0,0,11,0,qr_scan,0
CAP05159,Bengaluru,bike,12,parttime,23,14,6,2,0.875,0.899,0.361,0.22,22.7,12.76,0.57,27.0,3,0,0,9,1,gpay,1
CAP05160,Chennai,bike,4,fulltime,76,45,31,23,0.688,0.318,0.33,0.22,16.8,9.2,0.121,220.0,1,1,1,4,0,gpay,0
CAP05161,Bengaluru,bike,3,fulltime,78,43,26,15,0.797,0.073,0.331,0.22,12.4,11.19,0.365,175.0,2,1,0,4,1,paytm,0
CAP05162,Bengaluru,bike,8,fulltime,74,44,25,19,0.733,0.217,0.356,0.22,19.7,12.71,0.54,251.0,1,0,0,4,0,gpay,0
CAP05163,Hyderabad,bike,9,fulltime,81,68,59,47,0.415,0.571,0.265,0.22,11.5,10.76,0.251,526.0,1,1,1,11,2,gpay,0
CAP05164,Bengaluru,bike,8,parttime,32,25,21,12,0.606,0.169,0.172,0.149,17.1,14.66,0.588,200.0,2,1,0,2,0,gpay,1
CAP05165,Delhi,bike,9,fulltime,87,57,51,38,0.557,0.629,0.108,0.22,17.0,11.31,0.549,447.0,1,1,0,4,2,qr_scan,0
CAP05166,Bengaluru,bike,1,parttime,38,24,15,12,0.667,0.485,0.298,0.22,18.6,11.71,0.719,146.0,3,1,0,5,0,paytm,0
CAP05167,Bengaluru,bike,5,parttime,28,15,13,4,0.828,0.367,0.238,0.153,17.2,8.78,0.245,40.0,2,1,0,6,0,gpay,1
CAP05168,Bengaluru,bike,12,parttime,27,17,10,4,0.821,0.94,0.336,0.083,15.3,11.87,0.283,58.0,4,0,1,5,0,gpay,1
CAP05169,Chennai,auto,7,fulltime,59,40,37,34,0.417,0.386,0.275,0.14,24.9,19.54,0.288,762.0,2,1,0,3,2,amazon_pay,0
CAP05170,Hyderabad,bike,8,parttime,25,22,18,6,0.731,0.625,0.473,0.22,19.7,13.13,0.309,82.0,3,1,1,5,0,paytm,1
CAP05171,Hyderabad,bike,11,fulltime,68,37,28,15,0.768,0.4,0.125,0.199,17.4,9.12,0.622,146.0,0,1,1,7,3,qr_scan,0
CAP05172,Bengaluru,auto,2,parttime,30,19,17,13,0.548,0.726,0.387,0.14,23.8,19.28,0.093,287.0,3,0,0,10,0,gpay,1
CAP05173,Bengaluru,bike,12,parttime,31,28,21,11,0.625,0.332,0.242,0.22,25.2,8.61,0.515,98.0,4,0,0,11,0,amazon_pay,1
CAP05174,Hyderabad,auto,11,fulltime,77,68,44,37,0.513,0.209,0.158,0.134,15.5,24.06,0.55,1028.0,0,0,0,8,1,paytm,0
CAP05175,Pune,bike,4,parttime,33,29,18,7,0.765,0.589,0.31,0.22,15.4,13.39,0.244,97.0,0,0,0,5,1,paytm,0
CAP05176,Pune,bike,7,parttime,21,11,5,4,0.773,0.451,0.374,0.22,17.7,12.86,0.759,53.0,6,1,0,8,0,paytm,1
CAP05177,Bengaluru,bike,5,fulltime,86,59,40,25,0.701,0.217,0.498,0.08,17.4,10.83,0.514,332.0,1,1,0,8,0,qr_scan,0
CAP05178,Hyderabad,bike,1,fulltime,73,54,45,16,0.77,0.422,0.352,0.151,12.7,10.74,0.773,195.0,1,1,1,3,2,gpay,1
CAP05179,Delhi,bike,2,fulltime,87,51,26,18,0.784,0.282,0.028,0.154,21.6,11.64,0.102,236.0,2,1,0,6,2,qr_scan,0
CAP05180,Hyderabad,bike,5,fulltime,80,46,42,21,0.728,0.738,0.774,0.22,8.6,11.68,0.786,255.0,0,1,0,7,0,qr_scan,0
CAP05181,Pune,bike,6,fulltime,80,55,30,23,0.704,0.295,0.147,0.22,19.4,9.1,0.498,218.0,1,1,0,8,1,gpay,0
CAP05182,Bengaluru,auto,1,parttime,30,27,25,22,0.258,0.842,0.326,0.14,23.3,20.67,0.153,521.0,0,1,0,6,2,qr_scan,0
CAP05183,Delhi,bike,12,fulltime,87,61,41,16,0.807,0.413,0.331,0.22,17.3,10.5,0.466,175.0,3,1,0,4,0,gpay,0
CAP05184,Chennai,bike,3,fulltime,80,68,35,17,0.778,0.348,0.385,0.22,17.6,9.72,0.688,172.0,1,0,0,7,0,amazon_pay,0
CAP05185,Delhi,bike,6,parttime,17,13,6,3,0.778,0.872,0.299,0.202,9.0,10.29,0.292,33.0,0,0,0,2,3,amazon_pay,0
CAP05186,Chennai,bike,6,parttime,29,26,20,18,0.367,0.686,0.481,0.108,22.8,10.78,0.652,231.0,2,0,0,16,0,gpay,0
CAP05187,Hyderabad,bike,7,parttime,23,15,12,7,0.667,0.472,0.106,0.22,18.3,10.04,0.187,73.0,4,1,0,4,0,cash,0
CAP05188,Delhi,bike,10,parttime,30,18,8,3,0.871,0.601,0.358,0.22,20.2,7.98,0.322,25.0,7,1,1,7,2,amazon_pay,1
CAP05189,Bengaluru,bike,12,parttime,22,13,11,5,0.739,0.673,0.355,0.084,16.1,9.14,0.254,56.0,5,0,0,3,1,cash,1
CAP05190,Bengaluru,auto,3,fulltime,82,51,23,8,0.892,0.755,0.107,0.092,25.9,19.06,0.2,185.0,2,0,1,5,0,gpay,0
CAP05191,Chennai,bike,1,parttime,21,18,13,6,0.682,0.385,0.282,0.22,15.5,9.94,0.425,62.0,3,0,0,10,2,cash,0
CAP05192,Chennai,bike,7,parttime,31,24,16,11,0.625,0.343,0.291,0.158,16.9,11.48,0.128,142.0,3,0,0,2,1,gpay,0
CAP05193,Delhi,bike,12,parttime,37,28,23,10,0.711,0.745,0.418,0.22,18.8,12.75,0.26,133.0,0,0,0,6,0,gpay,0
CAP05194,Bengaluru,bike,11,fulltime,79,47,34,30,0.612,0.55,0.167,0.09,20.5,8.46,0.257,308.0,3,1,0,6,2,paytm,1
CAP05195,Pune,bike,3,parttime,27,16,9,7,0.714,0.922,0.287,0.213,8.0,9.92,0.656,73.0,1,0,0,4,3,qr_scan,1
CAP05196,Chennai,auto,5,parttime,21,13,9,6,0.682,0.181,0.427,0.14,13.8,18.35,0.417,126.0,3,0,0,7,2,qr_scan,1
CAP05197,Bengaluru,auto,4,fulltime,72,61,56,34,0.521,0.448,0.715,0.14,35.2,20.76,0.676,809.0,0,0,1,6,0,cash,0
CAP05198,Hyderabad,bike,12,parttime,29,24,12,9,0.667,0.832,0.446,0.22,14.6,12.16,0.331,114.0,3,0,0,5,4,paytm,0
CAP05199,Bengaluru,bike,1,fulltime,94,73,56,25,0.726,0.529,0.793,0.22,12.0,12.8,0.52,333.0,3,1,1,6,0,gpay,0
CAP05200,Bengaluru,bike,12,parttime,25,14,7,4,0.808,0.754,0.434,0.22,23.3,9.48,0.463,39.0,5,0,0,6,1,gpay,1
CAP05201,Delhi,bike,7,parttime,29,17,9,8,0.7,0.201,0.474,0.22,13.4,11.69,0.481,97.0,3,1,0,4,0,gpay,1
CAP05202,Chennai,bike,4,fulltime,80,52,48,25,0.679,0.507,0.438,0.22,18.5,15.38,0.124,400.0,2,1,0,6,1,gpay,0
CAP05203,Chennai,bike,1,parttime,30,26,22,13,0.548,0.548,0.375,0.08,19.0,7.0,0.636,112.0,5,1,0,9,2,gpay,0
CAP05204,Delhi,bike,11,parttime,27,22,19,9,0.643,0.778,0.202,0.22,25.4,13.32,0.174,125.0,4,1,0,7,0,paytm,1
CAP05205,Hyderabad,bike,6,fulltime,73,66,34,13,0.811,0.362,0.19,0.22,19.2,10.01,0.64,135.0,3,0,0,1,0,paytm,1
CAP05206,Pune,auto,4,fulltime,77,43,28,16,0.782,0.266,0.372,0.047,17.5,23.21,0.251,472.0,1,0,0,6,2,cash,0
CAP05207,Hyderabad,auto,4,parttime,19,16,13,5,0.7,0.76,0.487,0.105,34.1,18.74,0.497,112.0,1,0,0,6,1,cash,1
CAP05208,Pune,bike,2,parttime,34,19,14,9,0.714,0.689,0.589,0.215,15.0,10.79,0.26,102.0,0,0,0,12,3,cash,0
CAP05209,Bengaluru,bike,1,parttime,28,22,11,8,0.69,0.896,0.242,0.08,18.9,7.22,0.283,71.0,4,1,0,5,0,cash,1
CAP05210,Delhi,auto,3,parttime,29,23,15,12,0.567,0.589,0.174,0.133,21.9,18.35,0.423,255.0,3,0,1,8,1,qr_scan,0
CAP05211,Bengaluru,bike,10,parttime,28,18,10,4,0.828,0.635,0.456,0.08,14.7,10.92,0.104,54.0,4,1,0,8,1,paytm,0
CAP05212,Bengaluru,auto,5,parttime,35,29,17,15,0.556,0.289,0.244,0.04,32.2,14.58,0.343,280.0,5,0,0,4,0,paytm,0
CAP05213,Chennai,bike,12,fulltime,89,63,57,32,0.633,0.383,0.565,0.22,16.9,8.21,0.439,273.0,1,1,1,10,0,qr_scan,0
CAP05214,Hyderabad,bike,9,parttime,24,19,10,6,0.72,0.874,0.274,0.22,16.0,13.74,0.484,86.0,5,1,0,4,2,amazon_pay,1
CAP05215,Chennai,bike,7,parttime,24,19,12,8,0.64,0.616,0.154,0.22,9.7,11.98,0.335,100.0,1,0,0,6,5,amazon_pay,1
CAP05216,Hyderabad,auto,4,parttime,25,22,15,6,0.731,0.688,0.173,0.062,21.8,13.0,0.271,98.0,3,1,1,7,3,cash,1
CAP05217,Chennai,bike,8,fulltime,67,54,26,22,0.662,0.18,0.459,0.22,14.5,12.05,0.727,276.0,2,1,1,10,0,amazon_pay,0
CAP05218,Bengaluru,bike,12,parttime,34,27,24,19,0.429,0.877,0.44,0.22,11.9,8.14,0.03,161.0,3,1,0,6,0,gpay,1
CAP05219,Bengaluru,bike,4,parttime,31,24,16,10,0.656,0.47,0.241,0.22,13.3,10.95,0.899,114.0,1,0,0,10,0,amazon_pay,0
CAP05220,Bengaluru,auto,6,parttime,28,16,10,5,0.793,0.795,0.128,0.14,30.3,17.67,0.358,101.0,8,1,0,4,2,gpay,1
CAP05221,Hyderabad,auto,12,fulltime,94,63,43,27,0.705,0.447,0.439,0.043,41.7,18.36,0.429,633.0,3,1,0,6,0,gpay,0
CAP05222,Bengaluru,auto,1,parttime,24,17,13,9,0.6,0.561,0.448,0.14,18.7,15.38,0.583,159.0,2,0,0,6,2,paytm,0
CAP05223,Hyderabad,auto,6,parttime,23,14,10,7,0.667,0.786,0.63,0.14,23.6,23.06,0.167,185.0,1,0,0,9,1,gpay,1
CAP05224,Hyderabad,bike,10,parttime,30,18,13,7,0.742,0.81,0.122,0.16,13.7,7.97,0.121,62.0,3,0,0,5,0,paytm,0
CAP05225,Bengaluru,bike,5,fulltime,78,58,34,12,0.835,0.383,0.337,0.22,16.2,10.13,0.393,126.0,2,0,0,5,0,gpay,1
CAP05226,Hyderabad,bike,2,parttime,29,25,16,12,0.567,0.769,0.376,0.22,16.5,10.03,0.599,125.0,7,0,1,7,1,gpay,0
CAP05227,Pune,bike,1,parttime,27,21,16,8,0.679,0.251,0.392,0.22,17.3,8.08,0.42,67.0,3,1,0,4,0,gpay,1
CAP05228,Bengaluru,auto,6,parttime,22,18,15,13,0.391,0.294,0.104,0.072,30.2,13.0,0.327,209.0,4,0,0,7,1,gpay,0
CAP05229,Hyderabad,auto,11,parttime,33,20,10,6,0.794,0.788,0.278,0.04,24.2,19.65,0.562,151.0,1,1,0,4,2,paytm,0
CAP05230,Chennai,bike,2,fulltime,87,75,65,53,0.386,0.041,0.76,0.22,19.1,9.39,0.284,518.0,3,0,1,5,1,gpay,0
CAP05231,Hyderabad,bike,9,parttime,27,16,13,7,0.714,0.384,0.157,0.22,19.4,9.68,0.551,70.0,2,1,0,5,1,gpay,1
CAP05232,Chennai,auto,9,fulltime,87,57,46,26,0.693,0.792,0.664,0.14,31.5,20.71,0.551,617.0,1,0,0,6,3,amazon_pay,0
CAP05233,Hyderabad,bike,1,fulltime,73,65,44,35,0.514,0.432,0.113,0.22,15.5,7.97,0.265,290.0,1,0,1,6,0,gpay,0
CAP05234,Hyderabad,bike,5,fulltime,74,67,49,33,0.547,0.586,0.512,0.125,13.0,11.63,0.223,448.0,1,1,0,8,0,gpay,0
CAP05235,Bengaluru,bike,8,parttime,26,15,10,5,0.778,0.647,0.513,0.22,16.7,7.23,0.373,38.0,3,1,0,5,0,paytm,0
CAP05236,Chennai,bike,4,parttime,23,14,9,7,0.667,0.961,0.207,0.22,19.5,11.6,0.408,84.0,3,1,0,8,3,gpay,1
CAP05237,Chennai,bike,3,parttime,23,15,11,8,0.625,0.494,0.283,0.22,13.9,10.2,0.089,85.0,6,1,1,5,0,cash,0
CAP05238,Bengaluru,bike,5,parttime,28,23,16,11,0.586,0.623,0.46,0.1,20.9,10.52,0.591,139.0,2,1,1,6,1,qr_scan,1
CAP05239,Hyderabad,bike,5,fulltime,79,48,34,27,0.65,0.351,0.565,0.22,14.1,10.84,0.571,304.0,2,0,0,5,0,gpay,1
CAP05240,Delhi,auto,8,parttime,32,19,14,10,0.667,0.23,0.333,0.071,32.1,20.03,0.12,248.0,1,1,0,1,1,amazon_pay,0
CAP05241,Hyderabad,bike,6,fulltime,62,47,27,13,0.778,0.861,0.471,0.08,14.8,14.88,0.322,237.0,2,1,1,4,0,qr_scan,0
CAP05242,Hyderabad,bike,2,parttime,30,23,18,6,0.774,0.323,0.609,0.22,26.1,13.01,0.407,81.0,2,0,1,7,0,cash,1
CAP05243,Delhi,auto,11,parttime,22,12,11,9,0.565,0.032,0.217,0.056,26.0,20.07,0.521,227.0,1,1,0,7,0,cash,0
CAP05244,Chennai,bike,1,parttime,32,22,12,11,0.636,0.304,0.342,0.22,21.3,10.5,0.742,120.0,5,1,0,7,2,gpay,1
CAP05245,Hyderabad,bike,3,parttime,21,17,15,11,0.455,0.55,0.088,0.22,10.3,12.6,0.159,144.0,1,0,0,3,1,gpay,1
CAP05246,Pune,auto,2,fulltime,83,56,37,31,0.619,0.117,0.153,0.097,27.7,13.0,0.134,485.0,1,0,1,7,2,cash,0
CAP05247,Pune,bike,4,fulltime,82,53,48,41,0.494,0.622,0.362,0.102,19.6,7.12,0.511,350.0,2,1,1,7,1,cash,0
CAP05248,Hyderabad,auto,3,parttime,25,14,9,4,0.808,0.668,0.431,0.14,28.0,24.91,0.25,114.0,3,0,0,5,1,gpay,1
CAP05249,Hyderabad,bike,9,parttime,29,21,16,9,0.667,0.946,0.189,0.22,20.5,11.33,0.34,106.0,2,1,0,6,1,amazon_pay,1
CAP05250,Hyderabad,bike,5,parttime,22,20,14,11,0.478,0.596,0.08,0.22,17.8,11.32,0.549,130.0,0,0,0,5,0,gpay,0
CAP05251,Delhi,bike,4,fulltime,84,66,54,33,0.6,0.431,0.466,0.22,21.2,15.51,0.846,532.0,0,1,0,10,0,cash,0
CAP05252,Chennai,bike,10,parttime,29,16,12,8,0.7,0.687,0.187,0.123,22.0,10.05,0.379,94.0,1,0,0,9,1,paytm,1
CAP05253,Bengaluru,auto,9,fulltime,74,48,44,22,0.693,0.678,0.414,0.14,27.0,19.9,0.639,502.0,0,0,0,9,1,amazon_pay,1
CAP05254,Pune,bike,4,fulltime,77,65,38,29,0.615,0.123,0.44,0.11,8.9,12.26,0.26,422.0,2,0,0,7,2,amazon_pay,0
CAP05255,Hyderabad,auto,6,fulltime,90,76,69,48,0.462,0.741,0.294,0.065,28.3,22.54,0.24,1349.0,1,0,0,9,2,gpay,0
CAP05256,Bengaluru,auto,10,parttime,22,15,8,7,0.652,0.809,0.223,0.052,26.2,13.0,0.249,115.0,2,0,1,3,2,gpay,0
CAP05257,Hyderabad,bike,1,fulltime,85,49,41,37,0.558,0.082,0.196,0.22,18.8,10.06,0.668,387.0,2,1,0,2,0,amazon_pay,0
CAP05258,Hyderabad,auto,2,parttime,27,20,13,8,0.679,0.606,0.582,0.14,20.0,14.14,0.353,130.0,2,1,0,4,0,qr_scan,1
CAP05259,Pune,bike,4,fulltime,86,72,34,17,0.793,0.183,0.367,0.11,20.4,13.28,0.455,268.0,1,1,0,6,1,gpay,0
CAP05260,Bengaluru,bike,9,parttime,33,22,10,5,0.824,0.316,0.824,0.22,16.9,11.44,0.255,59.0,4,1,0,3,2,paytm,0
CAP05261,Pune,auto,6,parttime,29,25,17,13,0.533,0.34,0.635,0.14,27.6,20.9,0.069,312.0,2,1,1,8,2,gpay,0
CAP05262,Hyderabad,bike,6,fulltime,84,57,26,15,0.812,0.629,0.713,0.22,16.2,14.77,0.51,230.0,0,1,0,6,1,amazon_pay,0
CAP05263,Bengaluru,bike,11,parttime,16,9,8,6,0.588,0.883,0.08,0.12,19.4,12.3,0.684,87.0,3,0,0,6,2,paytm,1
CAP05264,Delhi,bike,9,parttime,31,26,13,6,0.781,0.736,0.273,0.22,12.6,13.76,0.129,86.0,4,1,0,13,0,qr_scan,0
CAP05265,Hyderabad,bike,12,parttime,26,15,10,8,0.667,0.635,0.722,0.22,19.4,12.35,0.697,103.0,2,1,0,7,0,amazon_pay,0
CAP05266,Bengaluru,bike,4,fulltime,81,52,33,27,0.659,0.606,0.486,0.089,13.1,10.55,0.312,346.0,4,0,1,2,4,gpay,1
CAP05267,Hyderabad,bike,3,parttime,26,23,16,7,0.704,0.301,0.22,0.22,24.3,11.65,0.189,85.0,3,0,1,3,0,gpay,1
CAP05268,Pune,bike,7,parttime,30,22,12,4,0.839,0.679,0.792,0.188,17.7,14.15,0.238,61.0,3,0,0,11,1,paytm,1
CAP05269,Bengaluru,bike,12,parttime,26,15,13,9,0.63,0.897,0.295,0.22,12.5,13.35,0.215,125.0,3,1,1,3,2,amazon_pay,1
CAP05270,Bengaluru,bike,7,parttime,35,27,12,9,0.722,0.579,0.09,0.22,13.0,12.04,0.0,113.0,4,0,0,6,0,cash,0
CAP05271,Bengaluru,bike,9,parttime,20,15,11,10,0.476,0.524,0.395,0.22,12.6,10.93,0.157,114.0,2,0,0,4,0,gpay,1
CAP05272,Bengaluru,bike,6,parttime,33,25,15,11,0.647,0.505,0.144,0.22,22.8,7.95,0.781,91.0,1,0,0,8,2,gpay,1
CAP05273,Pune,auto,2,parttime,27,18,10,7,0.714,0.943,0.31,0.14,23.3,19.38,0.114,156.0,4,0,0,7,1,cash,1
CAP05274,Hyderabad,bike,6,fulltime,63,44,24,14,0.766,0.35,0.613,0.22,20.6,11.01,0.39,160.0,0,1,0,6,0,qr_scan,0
CAP05275,Bengaluru,bike,8,parttime,22,18,9,4,0.783,0.644,0.187,0.08,9.8,10.96,0.015,54.0,4,1,1,2,1,gpay,1
CAP05276,Bengaluru,bike,6,parttime,25,23,17,10,0.577,0.34,0.274,0.22,14.9,8.8,0.588,92.0,1,1,0,6,1,amazon_pay,0
CAP05277,Bengaluru,bike,9,parttime,34,26,23,17,0.486,0.876,0.54,0.22,13.4,8.45,0.11,149.0,4,1,1,4,2,gpay,1
CAP05278,Delhi,bike,4,parttime,29,26,16,15,0.467,0.574,0.202,0.201,17.0,10.08,0.521,161.0,2,0,0,5,2,gpay,0
CAP05279,Bengaluru,auto,3,fulltime,85,52,27,20,0.756,0.422,0.17,0.14,27.0,18.17,0.239,417.0,1,1,0,6,0,gpay,0
CAP05280,Delhi,auto,11,fulltime,70,46,21,14,0.789,0.367,0.346,0.14,25.5,17.24,0.789,277.0,1,1,0,6,0,gpay,1
CAP05281,Hyderabad,auto,5,fulltime,69,61,52,31,0.543,0.092,0.21,0.068,31.9,19.2,0.687,740.0,0,0,0,6,2,qr_scan,0
CAP05282,Bengaluru,auto,3,fulltime,82,76,42,24,0.699,0.115,0.967,0.058,30.4,18.41,0.413,555.0,3,0,0,4,1,amazon_pay,0
CAP05283,Pune,bike,11,parttime,37,33,26,15,0.579,0.344,0.679,0.211,12.6,13.55,0.522,214.0,2,0,0,4,1,gpay,0
